edge_id,parent_entity_id,parent_entity_key,parent_name,child_entity_id,child_entity_key,child_name,relationship_type,certainty,source_id,page_number,line_number,source_ref,evidence_text,extraction_rule,wikidata_property_suggestion,privacy_review_required
EDGE_DC44068F56,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_B49B0B7881,hasan,Hasan,father_of,medium_high,SRC002,105,14,SRC002 p.105 line 14,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.5: Hasan,descendant_child_under_current_heading,P22,no
EDGE_FC676F9A49,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_919A801DF3,husayn,Hussain,father_of,medium_high,SRC002,105,16,SRC002 p.105 line 16,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.6: Hussain,descendant_child_under_current_heading,P22,no
EDGE_CF7E5B5211,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_CF6BA6236C,abdur rahman,Abdur Rahman,father_of,medium_high,SRC002,105,18,SRC002 p.105 line 18,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.7: Abdur Rahman,descendant_child_under_current_heading,P22,no
EDGE_A3B8038C61,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_C59D73AA39,suleiman,Suleiman,father_of,medium_high,SRC002,105,20,SRC002 p.105 line 20,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.8: Suleiman,descendant_child_under_current_heading,P22,no
EDGE_F2B77B3A2C,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,father_of,high,SRC002,105,30,SRC002 p.105 line 30,Descendants of Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S),descendants_heading_child_bin_father,P22,no
EDGE_AE96B6A6F3,ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,ENT_DCF45C9AF0,imam ja far al sadiq,Imam Ja‘far al-Sadiq,father_of,medium_high,SRC002,105,33,SRC002 p.105 line 33,Descendants of Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) | child entry 83.1: Imam Ja‘far al-Sadiq (A.S),descendant_child_under_current_heading,P22,no
EDGE_9DD8A33681,ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,ENT_0B4A627614,abdullah alaftah,Abdullah Alaftah,father_of,medium_high,SRC002,105,35,SRC002 p.105 line 35,Descendants of Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) | child entry 83.2: Abdullah Alaftah,descendant_child_under_current_heading,P22,no
EDGE_DE876F0370,ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,ENT_04BBD3D882,ibrahim,Ibrahim,father_of,medium_high,SRC002,105,37,SRC002 p.105 line 37,Descendants of Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) | child entry 83.3: Ibrahim,descendant_child_under_current_heading,P22,no
EDGE_87EEB50A17,ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,ENT_8E5F8686FE,ubaydullah,Ubaydullah,father_of,medium_high,SRC002,105,39,SRC002 p.105 line 39,Descendants of Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) | child entry 83.4: Ubaydullah,descendant_child_under_current_heading,P22,no
EDGE_A2962CD044,ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,father_of,high,SRC002,105,40,SRC002 p.105 line 40,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S),descendants_heading_child_bin_father,P22,no
EDGE_C0E2D8AC67,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_7B57102DEA,imam musa al kazim,Imam Musa al-Kazim,father_of,medium_high,SRC002,105,43,SRC002 p.105 line 43,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.1: Imam Musa al-Kazim (A.S),descendant_child_under_current_heading,P22,no
EDGE_8FA61C83CA,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_E327C9FB8E,ismail,Ismail,father_of,medium_high,SRC002,105,45,SRC002 p.105 line 45,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.2: Ismail,descendant_child_under_current_heading,P22,no
EDGE_CCB06E07D3,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_AD94B8D05E,abdullah al aftah,Abdullah (al-Aftah),father_of,medium_high,SRC002,105,47,SRC002 p.105 line 47,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.3: Abdullah (al-Aftah),descendant_child_under_current_heading,P22,no
EDGE_9F2B3F20F3,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_D2A487B69D,muhammad debaj,Muhammad Debaj,father_of,medium_high,SRC002,105,49,SRC002 p.105 line 49,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.4: Muhammad Debaj,descendant_child_under_current_heading,P22,no
EDGE_61AE40C1F5,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_D68ADED6E6,ishaq,Ishaq,father_of,medium_high,SRC002,105,51,SRC002 p.105 line 51,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.5: Ishaq,descendant_child_under_current_heading,P22,no
EDGE_0D330861FC,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_CF5B211A40,ali uraydi,Ali Uraydi,father_of,medium_high,SRC002,105,53,SRC002 p.105 line 53,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.6: Ali Uraydi,descendant_child_under_current_heading,P22,no
EDGE_63A850A87E,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_592A598416,abbas,Abbas,father_of,medium_high,SRC002,105,55,SRC002 p.105 line 55,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.7: Abbas,descendant_child_under_current_heading,P22,no
EDGE_BE92B16ADC,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_FD9A51AAC5,yahya,Yahya,father_of,medium_high,SRC002,105,57,SRC002 p.105 line 57,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.8: Yahya,descendant_child_under_current_heading,P22,no
EDGE_FBE2987794,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_B6737FC736,hamza,Hamza,father_of,medium_high,SRC002,106,4,SRC002 p.106 line 4,Descendants of Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) bin Imam Zain ul Abideen (A.S) | child entry 84.9: Hamza,descendant_child_under_current_heading,P22,no
EDGE_EBAD2FDECF,ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,father_of,high,SRC002,106,7,SRC002 p.106 line 7,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S),descendants_heading_child_bin_father,P22,no
EDGE_97498CA8B2,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_D396EB5D47,imam ali al ridha,Imam Ali al-Ridha,father_of,medium_high,SRC002,106,10,SRC002 p.106 line 10,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.1: Imam Ali al-Ridha (A.S),descendant_child_under_current_heading,P22,no
EDGE_664818C6B6,ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,ENT_04BBD3D882,ibrahim,Ibrahim,father_of,medium_high,SRC002,106,12,SRC002 p.106 line 12,Descendants of Imam Musa Kazim (A.S) bin Imam Jafar Sadiq (A.S) bin Imam Muhammad Baqir (A.S) | child entry 85.2: Ibrahim,descendant_child_under_current_heading,P22,no
